date, pm25, pm10
2022/10/1, 115, 
2022/10/2, 73, 
2022/10/3, 100, 
2022/10/4, 83, 
2022/10/5, 100, 
2022/10/6, 101, 
2022/10/7, 82, 
2022/10/8, 68, 
2022/10/9, 120, 
2022/10/10, 99, 
2022/10/11, 149, 
2022/9/1, 111, 
2022/9/2, 126, 
2022/9/3, 95, 
2022/9/4, 68, 
2022/9/5, 121, 
2022/9/6, 94, 
2022/9/7, 103, 
2022/9/8, 118, 
2022/9/9, 144, 
2022/9/10, 109, 
2022/9/11, 92, 
2022/9/12, 90, 
2022/9/13, 114, 
2022/9/14, 113, 
2022/9/15, 133, 
2022/9/16, 113, 
2022/9/17, 126, 
2022/9/18, 149, 
2022/9/19, 130, 
2022/9/20, 114, 
2022/9/21, 123, 
2022/9/22, 126, 
2022/9/23, 112, 
2022/9/24, 93, 
2022/9/25, 119, 
2022/9/26, 102, 
2022/9/27, 86, 
2022/9/28, 115, 
2022/9/29, 106, 
2022/9/30, 109, 
2022/8/1, 105, 
2022/8/2, 141, 
2022/8/3, 150, 
2022/8/4, 101, 
2022/8/5, 92, 
2022/8/6, 132, 
2022/8/7, 116, 
2022/8/8, 89, 
2022/8/9, 98, 
2022/8/10, 126, 
2022/8/11, 123, 
2022/8/12, 104, 
2022/8/13, 106, 
2022/8/14, 105, 
2022/8/15, 90, 
2022/8/16, 128, 
2022/8/17, 99, 
2022/8/18, 94, 
2022/8/19, 103, 
2022/8/20, 110, 
2022/8/21, 99, 
2022/8/22, 88, 
2022/8/30, 108, 
2022/8/31, 140, 
2022/7/1, 133, 
2022/7/2, 160, 
2022/7/3, 133, 
2022/7/4, 72, 
2022/7/5, 119, 
2022/7/6, 113, 
2022/7/7, 126, 
2022/7/8, 96, 
2022/7/9, 78, 
2022/7/10, 94, 
2022/7/11, 126, 
2022/7/12, 142, 
2022/7/13, 118, 
2022/7/19, 130, 
2022/7/20, 145, 58
2022/7/21, 131, 56
2022/7/22, 123, 49
2022/7/23, 97, 
2022/7/24, 91, 41
2022/7/25, 100, 52
2022/7/26, 121, 62
2022/7/27, 141, 71
2022/7/28, 129, 38
2022/7/29, 100, 
2022/7/30, 126, 
2022/7/31, 133, 
2022/6/2, 77, 32
2022/6/3, 100, 32
2022/6/4, 112, 
2022/6/5, 116, 
2022/6/6, 107, 
2022/6/7, 93, 50
2022/6/8, 92, 39
2022/6/9, 98, 36
2022/6/10, 93, 51
2022/6/11, 99, 
2022/6/12, 114, 
2022/6/13, 106, 
2022/6/14, 119, 
2022/6/15, 145, 
2022/6/16, 129, 76
2022/6/17, 139, 
2022/6/18, 138, 
2022/6/19, 129, 
2022/6/20, 142, 
2022/6/21, 124, 64
2022/6/22, 129, 
2022/6/23, 130, 67
2022/6/24, 154, 
2022/6/25, 141, 
2022/6/26, 132, 
2022/6/27, 122, 50
2022/6/28, 103, 
2022/6/29, 90, 
2022/6/30, 103, 63
2022/5/1, 119, 
2022/5/2, 98, 
2022/5/3, 62, 
2022/5/4, 84, 
2022/5/5, 72, 
2022/5/6, 60, 
2022/5/7, 113, 
2022/5/8, 58, 
2022/5/9, 82, 
2022/5/10, 94, 
2022/5/11, 97, 34
2022/5/12, 73, 29
2022/5/13, 55, 49
2022/5/14, 122, 50
2022/5/15, 130, 44
2022/5/16, 119, 33
2022/5/17, 101, 
2022/5/18, 107, 
2022/5/19, 135, 20
2022/5/20, 104, 44
2022/5/21, 83, 
2022/5/22, 94, 
2022/5/23, 104, 
2022/5/24, 90, 
2022/5/25, 113, 
2022/5/26, 102, 
2022/5/27, 143, 
2022/5/28, 110, 
2022/5/29, 68, 
2022/5/30, 92, 25
2022/5/31, 92, 23
2022/4/1, 109, 33
2022/4/2, 89, 17
2022/4/3, 49, 39
2022/4/4, 81, 52
2022/4/5, 92, 38
2022/4/6, 75, 43
2022/4/7, 99, 27
2022/4/8, 74, 43
2022/4/9, 101, 52
2022/4/10, 119, 44
2022/4/11, 108, 60
2022/4/12, 143, 71
2022/4/13, 147, 41
2022/4/14, 87, 51
2022/4/15, 117, 48
2022/4/16, 125, 56
2022/4/17, 125, 37
2022/4/18, 102, 44
2022/4/19, 110, 38
2022/4/20, 86, 31
2022/4/21, 74, 64
2022/4/22, 125, 46
2022/4/23, 104, 41
2022/4/24, 100, 49
2022/4/25, 103, 33
2022/4/26, 71, 24
2022/4/27, 80, 20
2022/4/28, 33, 
2022/4/29, 45, 
2022/4/30, 82, 
2022/3/1, 45, 28
2022/3/2, 47, 19
2022/3/3, 53, 21
2022/3/4, 52, 24
2022/3/5, 61, 45
2022/3/6, 94, 18
2022/3/7, 47, 27
2022/3/8, 66, 
2022/3/9, 98, 
2022/3/10, 111, 60
2022/3/11, 107, 
2022/3/12, 54, 
2022/3/13, 87, 
2022/3/14, 107, 
2022/3/15, 95, 
2022/3/16, 110, 
2022/3/17, 129, 34
2022/3/18, 109, 21
2022/3/19, 57, 
2022/3/20, 56, 
2022/3/21, 38, 
2022/3/22, 72, 
2022/3/23, 54, 
2022/3/24, 86, 61
2022/3/25, 124, 54
2022/3/26, 115, 52
2022/3/27, 120, 27
2022/3/28, 71, 46
2022/3/29, 119, 
2022/3/30, 146, 37
2022/3/31, 131, 62
2022/2/1, 110, 
2022/2/2, 61, 
2022/2/3, 89, 
2022/2/4, 68, 
2022/2/5, 65, 
2022/2/6, 49, 
2022/2/7, 59, 
2022/2/8, 104, 
2022/2/9, 86, 
2022/2/10, 52, 
2022/2/11, 99, 
2022/2/12, 97, 
2022/2/13, 114, 
2022/2/14, 129, 
2022/2/23, 76, 
2022/2/24, 41, 19
2022/2/25, 48, 21
2022/2/26, 55, 14
2022/2/27, 41, 22
2022/2/28, 43, 19
2022/1/3, 78, 39
2022/1/4, 110, 68
2022/1/5, 160, 52
2022/1/6, 115, 34
2022/1/7, 71, 72
2022/1/8, 100, 192
2022/1/9, 87, 26
2022/1/10, 76, 22
2022/1/11, 61, 27
2022/1/12, 66, 
2022/1/13, 69, 
2022/1/14, 79, 32
2022/1/15, 82, 44
2022/1/16, 116, 250
2022/1/17, 87, 
2022/1/18, 74, 
2022/1/19, 65, 
2022/1/20, 56, 
2022/1/21, 70, 
2022/1/22, 67, 
2022/1/23, 67, 
2022/1/24, 56, 
2022/1/25, 60, 
2022/1/26, 61, 
2022/1/27, 81, 
2022/1/28, 79, 
2022/1/29, 121, 
2022/1/30, 159, 
2022/1/31, 92, 
2021/10/1, 121, 72
2021/10/2, 140, 
2021/10/3, 111, 
2021/10/4, 119, 
2021/10/5, 102, 45
2021/10/6, 99, 37
2021/10/7, 90, 45
2021/10/8, 109, 42
2021/10/9, 96, 50
2021/10/10, 127, 50
2021/10/11, 106, 47
2021/10/12, 107, 48
2021/10/13, 117, 62
2021/10/14, 130, 72
2021/10/15, 151, 
2021/10/16, 141, 
2021/10/17, 133, 22
2021/10/18, 86, 37
2021/10/19, 72, 
2021/10/20, 88, 
2021/10/21, 98, 70
2021/10/22, 119, 
2021/10/23, 119, 55
2021/10/24, 136, 
2021/10/25, 127, 51
2021/10/26, 121, 34
2021/10/27, 91, 50
2021/10/28, 87, 50
2021/10/29, 96, 
2021/10/30, 89, 63
2021/10/31, 111, 57
2021/11/1, 111, 37
2021/11/2, 93, 44
2021/11/3, 96, 46
2021/11/4, 117, 39
2021/11/5, 120, 32
2021/11/6, 88, 28
2021/11/7, 74, 42
2021/11/8, 81, 35
2021/11/9, 113, 22
2021/11/10, 69, 
2021/11/11, 73, 10
2021/11/12, 68, 50
2021/11/13, 110, 25
2021/11/14, 55, 25
2021/11/15, 56, 17
2021/11/16, 52, 4
2021/11/17, 87, 4
2021/11/18, 93, 5
2021/11/19, 35, 28
2021/11/20, 69, 24
2021/11/21, 58, 17
2021/11/22, 35, 10
2021/11/23, 24, 31
2021/11/24, 54, 33
2021/11/25, 64, 31
2021/11/26, 75, 15
2021/11/27, 36, 13
2021/11/28, 36, 16
2021/11/29, 42, 31
2021/11/30, 93, 27
2021/12/1, 63, 20
2021/12/2, 51, 
2021/12/3, 71, 
2021/12/4, 71, 
2021/12/5, 85, 
2021/12/6, 94, 
2021/12/7, 63, 
2021/12/8, 75, 
2021/12/9, 68, 
2021/12/10, 87, 
2021/12/11, 71, 
2021/12/12, 73, 
2021/12/13, 57, 
2021/12/14, 81, 
2021/12/15, 119, 
2021/12/16, 105, 
2021/12/17, 88, 
2021/12/18, 89, 
2021/12/19, 120, 
2021/12/20, 91, 
2021/12/21, 108, 45
2021/12/22, 126, 42
2021/12/23, 98, 32
2021/12/24, 81, 41
2021/12/25, 95, 23
2021/12/26, 72, 27
2021/12/27, 93, 35
2021/12/28, 90, 22
2021/12/29, 76, 39
2021/12/30, 108, 49
2021/12/31, 118, 21
2022/1/1, 53, 21
2022/1/2, 58, 35
2021/7/1, 108, 49
2021/7/2, 97, 61
2021/7/3, 133, 68
2021/7/4, 146, 65
2021/7/5, 139, 53
2021/7/6, 120, 62
2021/7/7, 141, 71
2021/7/8, 152, 66
2021/7/9, 141, 55
2021/7/10, 115, 49
2021/7/11, 106, 44
2021/7/12, 90, 63
2021/7/13, 139, 37
2021/7/14, 93, 88
2021/7/15, 159, 72
2021/7/16, 138, 57
2021/7/17, 131, 71
2021/7/18, 138, 72
2021/7/19, 153, 
2021/7/20, 122, 
2021/7/21, 108, 
2021/7/22, 133, 
2021/7/23, 116, 
2021/7/24, 123, 
2021/7/25, 134, 68
2021/7/26, 133, 
2021/7/27, 135, 
2021/7/28, 135, 
2021/7/29, 151, 68
2021/7/30, 140, 
2021/7/31, 100, 37
2021/8/1, 96, 33
2021/8/2, 80, 
2021/8/3, 104, 37
2021/8/4, 85, 51
2021/8/5, 103, 46
2021/8/6, 106, 54
2021/8/7, 100, 55
2021/8/8, 102, 46
2021/8/9, 77, 33
2021/8/10, 81, 54
2021/8/11, 103, 51
2021/8/12, 98, 65
2021/8/13, 123, 68
2021/8/14, 124, 49
2021/8/15, 99, 53
2021/8/16, 97, 57
2021/8/17, 128, 53
2021/8/18, 126, 58
2021/8/19, 131, 52
2021/8/20, 117, 47
2021/8/21, 111, 53
2021/8/22, 113, 55
2021/8/23, 119, 64
2021/8/24, 153, 51
2021/8/25, 109, 52
2021/8/26, 103, 61
2021/8/27, 139, 66
2021/8/28, 126, 64
2021/8/29, 159, 71
2021/8/30, 151, 58
2021/8/31, 128, 58
2021/9/1, 112, 55
2021/9/2, 126, 55
2021/9/3, 129, 48
2021/9/4, 106, 56
2021/9/7, 111, 46
2021/9/8, 106, 43
2021/9/9, 85, 47
2021/9/10, 105, 55
2021/9/11, 119, 43
2021/9/12, 112, 36
2021/9/13, 73, 32
2021/9/14, 78, 39
2021/9/15, 85, 35
2021/9/16, 76, 37
2021/9/17, 88, 45
2021/9/18, 100, 45
2021/9/19, 113, 43
2021/9/20, 94, 52
2021/9/21, 100, 45
2021/9/22, 98, 49
2021/9/23, 105, 43
2021/9/24, 101, 44
2021/9/25, 98, 39
2021/9/26, 105, 43
2021/9/27, 98, 37
2021/9/28, 86, 47
2021/9/29, 133, 56
2021/9/30, 134, 51
2021/4/1, 56, 29
2021/4/2, 65, 20
2021/4/3, 66, 41
2021/4/4, 106, 46
2021/4/5, 99, 22
2021/4/6, 50, 21
2021/4/7, 57, 34
2021/4/8, 73, 31
2021/4/9, 104, 27
2021/4/10, 81, 45
2021/4/11, 109, 46
2021/4/12, 108, 40
2021/4/13, 92, 45
2021/4/14, 110, 46
2021/4/15, 106, 48
2021/4/16, 122, 51
2021/4/17, 128, 47
2021/4/18, 135, 49
2021/4/19, 121, 49
2021/4/20, 110, 54
2021/4/21, 124, 47
2021/4/22, 122, 64
2021/4/23, 142, 59
2021/4/24, 101, 48
2021/4/25, 111, 50
2021/4/26, 119, 55
2021/4/27, 123, 42
2021/4/28, 100, 51
2021/4/29, 108, 
2021/4/30, 108, 
2021/5/1, 101, 
2021/5/2, 100, 44
2021/5/3, 99, 44
2021/5/4, 112, 44
2021/5/5, 111, 37
2021/5/6, 86, 48
2021/5/7, 98, 40
2021/5/8, 97, 24
2021/5/9, 68, 47
2021/5/10, 101, 55
2021/5/11, 122, 57
2021/5/12, 129, 55
2021/5/13, 131, 41
2021/5/14, 107, 40
2021/5/15, 101, 39
2021/5/16, 98, 34
2021/5/17, 91, 25
2021/5/18, 75, 42
2021/5/19, 116, 49
2021/5/20, 112, 49
2021/5/21, 114, 50
2021/5/22, 126, 59
2021/5/23, 146, 81
2021/5/24, 133, 37
2021/5/25, 84, 55
2021/5/26, 110, 46
2021/5/27, 81, 56
2021/5/28, 118, 39
2021/5/29, 94, 46
2021/5/30, 99, 44
2021/5/31, 110, 58
2021/6/1, 146, 51
2021/6/10, 112, 50
2021/6/11, 117, 57
2021/6/12, 98, 45
2021/6/13, 108, 65
2021/6/14, 125, 45
2021/6/15, 106, 76
2021/6/16, 112, 67
2021/6/17, 141, 60
2021/6/18, 119, 65
2021/6/19, 145, 76
2021/6/20, 138, 88
2021/6/21, 85, 31
2021/6/22, 75, 63
2021/6/23, 139, 60
2021/6/24, 129, 63
2021/6/25, 119, 45
2021/6/26, 107, 55
2021/6/27, 135, 
2021/6/28, 137, 57
2021/6/29, 139, 60
2021/6/30, 134, 49
2021/1/4, 57, 34
2021/1/5, 87, 29
2021/1/6, 62, 23
2021/1/7, 61, 33
2021/1/8, 76, 35
2021/1/9, 73, 25
2021/1/10, 53, 31
2021/1/11, 73, 30
2021/1/12, 49, 30
2021/1/13, 61, 27
2021/1/14, 81, 36
2021/1/15, 110, 62
2021/1/16, 92, 48
2021/1/17, 113, 27
2021/1/18, 74, 36
2021/1/19, 70, 33
2021/1/20, 65, 38
2021/1/21, 92, 37
2021/1/22, 119, 59
2021/1/23, 123, 28
2021/1/24, 92, 56
2021/1/25, 129, 36
2021/1/26, 79, 22
2021/1/27, 40, 22
2021/1/28, 48, 23
2021/1/29, 57, 27
2021/1/30, 64, 39
2021/1/31, 99, 52
2021/2/1, 107, 25
2021/2/2, 68, 20
2021/2/3, 47, 36
2021/2/4, 70, 27
2021/2/5, 56, 27
2021/2/6, 53, 27
2021/2/7, 49, 22
2021/2/8, 54, 33
2021/2/9, 83, 27
2021/2/10, 60, 21
2021/2/11, 50, 24
2021/2/12, 70, 22
2021/2/13, 70, 34
2021/2/14, 73, 34
2021/2/15, 68, 21
